time	V(rc)
Step Information: Cap=100f  (Run: 1/10)
2.797304638411974e-012	3.988428e-003
2.857304637359075e-012	4.076698e-003
2.927304636130692e-012	4.179957e-003
2.997304634902308e-012	4.283530e-003
3.067304633673925e-012	4.387432e-003
3.147304632270059e-012	4.506605e-003
3.237304630690709e-012	4.641248e-003
3.357304628584910e-012	4.821697e-003
3.497304626128143e-012	5.033637e-003
3.627304623846861e-012	5.231870e-003
3.867304619635261e-012	5.601212e-003
3.907304618933328e-012	5.663285e-003
3.987304617529462e-012	5.788222e-003
4.147304614721729e-012	6.040560e-003
4.187304614019796e-012	6.105403e-003
4.267304612615929e-012	6.239743e-003
4.287304612264963e-012	6.274741e-003
4.292304612177221e-012	6.283799e-003
4.302304612001738e-012	6.302279e-003
4.322304611650771e-012	6.340052e-003
4.344804611255934e-012	6.384814e-003
4.357304611036580e-012	6.410660e-003
4.362304610948838e-012	6.421198e-003
4.372304610773355e-012	6.442327e-003
4.374804610729484e-012	6.447606e-003
4.379804610641742e-012	6.458127e-003
4.389804610466259e-012	6.479085e-003
4.397304610334646e-012	6.494626e-003
4.427304609808197e-012	6.554671e-003
4.467304609106263e-012	6.630418e-003
4.547304607702397e-012	6.773057e-003
4.707304604894664e-012	7.045211e-003
4.747304604192731e-012	7.111290e-003
4.827304602788865e-012	7.241385e-003
4.847304602437898e-012	7.273828e-003
4.887304601735965e-012	7.338588e-003
4.967304600332098e-012	7.468048e-003
5.027304599279199e-012	7.565152e-003
5.127304597524366e-012	7.727113e-003
5.307304594365666e-012	8.019470e-003
5.547304590154067e-012	8.411123e-003
5.727304586995368e-012	8.706421e-003
5.967304582783768e-012	9.102179e-003
6.147304579625069e-012	9.400656e-003
6.387304575413470e-012	9.800810e-003
6.567304572254770e-012	1.010275e-002
6.807304568043171e-012	1.050777e-002
6.987304564884472e-012	1.081360e-002
7.227304560672873e-012	1.122413e-002
7.407304557514173e-012	1.153436e-002
7.647304553302574e-012	1.195112e-002
7.827304550143875e-012	1.226633e-002
7.967304547687109e-012	1.251313e-002
8.067304545932276e-012	1.269035e-002
8.107304545230342e-012	1.276161e-002
8.187304543826476e-012	1.290499e-002
8.347304541018743e-012	1.319410e-002
8.387304540316810e-012	1.326738e-002
8.467304538912944e-012	1.341592e-002
8.487304538561977e-012	1.345356e-002
8.527304537860044e-012	1.353053e-002
8.607304536456177e-012	1.368786e-002
8.667304535403278e-012	1.381114e-002
8.677304535227794e-012	1.383209e-002
8.697304534876828e-012	1.387440e-002
8.702304534789086e-012	1.388503e-002
8.712304534613603e-012	1.390638e-002
8.732304534262636e-012	1.394919e-002
8.737304534174894e-012	1.395991e-002
8.747304533999411e-012	1.398137e-002
8.767304533648445e-012	1.402414e-002
8.807304532946511e-012	1.410847e-002
8.887304531542645e-012	1.427250e-002
9.047304528734912e-012	1.459174e-002
9.087304528032979e-012	1.466968e-002
9.167304526629113e-012	1.482258e-002
9.327304523821380e-012	1.512586e-002
9.367304523119447e-012	1.520116e-002
9.447304521715580e-012	1.535100e-002
9.607304518907847e-012	1.565024e-002
9.647304518205914e-012	1.572498e-002
9.747304516451081e-012	1.591182e-002
9.887304513994315e-012	1.617363e-002
1.006730451083562e-011	1.651104e-002
1.028730450697498e-011	1.692500e-002
1.048730450346532e-011	1.730327e-002
1.062730450100855e-011	1.756931e-002
1.076730449855179e-011	1.783654e-002
1.084730449714792e-011	1.799004e-002
1.100730449434019e-011	1.829812e-002
1.104730449363825e-011	1.837548e-002
1.112730449223439e-011	1.853115e-002
1.128730448942665e-011	1.884625e-002
1.160730448381119e-011	1.948652e-002
1.168730448240732e-011	1.965034e-002
1.184730447959959e-011	1.998461e-002
1.196730447749379e-011	2.024077e-002
1.198730447714282e-011	2.028389e-002
1.202730447644089e-011	2.037070e-002
1.210730447503702e-011	2.054492e-002
